OC1,OC3,HI1,HI2,HI3,HI4,HRA1,HRA1A,HRA1B,HRA1E,CP1,CP2,CP3,CP4,CP5,HP1,HP2,HP3,HP4,HP5,HP5A,HP6,HP7A,HP7B,HP7C,HP7D,HP7D1,HP7D2,HP7D3,HP7E,HP7E1,HP7F,HP7F1,HP7F2,HP7F3,HP7F4,HP7F5,HP7F6,HP7F7,HP7F8,HP7F9,HP7F10,HP7F11,HP7G,HP8,HPR1_1,HPR1_1A,HPR1_1B,HPR1_1C,HPR1_2A,HPR1_2B,HPR1_2C,HPR1_2D,HPR1_2E,HPR1_2F,HPR1_2G,HPR1_2H,HPR1_2I,HPR1_2J,HPR1_2K,HPR2_1,HPR2_1A,HPR2_1B,HPR2_1C,HPR2_2A,HPR2_2B,HPR2_2C,HPR2_2D,HPR2_3A,HPR2_3B,HPR2_3C,HPR2_3D,HPR2_4A,HPR2_4B,HPR2_4C,HPR2_4D,HPR2_4E,HPR3_1,HPR3_1A,HPR3_1B,HPR3_1C,HPR3_2,HPR4_1,HPR4_1A,HPR4_1B,HPR4_1C,HPR4_2A,HPR4_2B,HPR4_2C,HPR4_2D,HPR4_2E,HPR4_2F,HPR4_2G,HPR4_2G1,HPR4_2G2,HPR4_2G3,HPR4_2G4,HPR4_2G5,HPR4_2G6,HPR4_2G7,HPR5_1,HPR5_1A,HPR5_1B,HPR6_1,HPR6_1A,HPR6_1B,HPR6_1C,HPR7_1,HPR7_1A,HPR7_1B,HPR7_1C,HPR8_1,HPR8_1A,HPR8_1B,HPR8_1C,HPR9_1,HPR9_1A,HPR9_1B,HPR9_1C,HS11,HS11_2,HS11A,HS12,HS12_2,HS13,HS13_2,HS14,HS14_2,HS15,HS15_2,HS16,HS16_2,HS17,HS17_2,HS18,HS18_2,HS19,HS19_2,HS2A,HS2B,HS3,DM11M1,DM11M2,DM11M3,DM12M1,DM12M2,DM12M3,DM13M1,DM13M2,DM13M3,DM14M1,DM14M2,DM14M3,DM15M1,DM15M2,DM15M3,DM16M1,DM16M2,DM16M3,DM17M1,DM17M2,DM17M3,DM18M1,DM18M2,DM18M3,DM19M1,DM19M2,DM19M3,DM20M1,DM20M2,DM20M3,DM2A,DM2B,DM3,KP2,KP3_1,KP3_2,KP3_3,KP4,KP5A,KP5C,KP5E,KP5F,KP5G,KP5H,KP5J,KP5J_01,WL1,WL2,WL3M1,WL3M2,WL3M3,WL3M4,WL3M5,WL5,WL6,WL7,WL8,WL9,WL11,WL12,WL14,WL15,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,OSH1,OSH2,OSH3,OSH4,OSH5,OSH6,OSH7_1,OSH7_2,OSH7_3,E1M1,E1M2,E1M3,E1M4,E1M5,E1M6,E1M7,E1M8,E1M9,E2,WD1_1,WD1_2,WD2,WD3,WD4,WD5,WD6,WD7,HPR5_2A_S,HPR5_2B_S,HPR5_2C_S,HPR5_2D_S,HPR5_2E_S,WL1_1_S,WL1_2_S,WL1_3_S,WL1_4_S,WL1_5_S,HPR9_2A_S,HPR9_2B_S,HPR9_2C_S,HPR9_2D_S,HPR9_2E_S,HPR9_2F_S,HPR8_2A_S,HPR8_2B_S,HPR8_2C_S,HPR8_2D_S,HPR8_2E_S,HPR7_2A_S,HPR7_2C_S,HPR7_2D_S,HPR7_2E_S,HPR7_2F_S,HPR6_2A_S,HPR6_2B_S,HPR6_2C_S,HPR6_2D_S,HPR6_2E_S,OSH7_1_S,OSH7_2_S,OSH7_4_S,OSH7_6_S,OSH8_S,OSH81A_S,OSH81B_S,OSH81C_S,KP1A_S,KP1B_S,KP1C_S,KP1D_S,KP1E_S,KP1F_S,xxx,KP1G_S_01,HOSPITAL,OC1_07,WL3_05,E1_09,Suppquex,Id,Region,CDC_Region,Industry,Size,Varstrata,"Filwt_worksite,,,,"
7,1,1,1,2,1,1,2,3,2,1,1,1,1,1,1,4,1,1,4,3,1,1,,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,9,3,1,3,4,2,1,1,1,2,1,1,1,2,2,2,1,1,3,4,4,1,1,2,1,1,1,1,2,1,2,2,2,2,1,3,4,1,,1,1,1,1,2,1,1,1,,1,1,2,1,1,1,1,1,2,1,3,4,,,,,1,1,1,4,1,1,1,2,1,1,1,1,1,,2,1,,1,,1,2,1,,2,9,2,9,2,9,2,9,1,1,3,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,4,2,1,1,1,2,2,3,1,2,1,2,2,1,2,,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,4,1,5,1,4,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,7,0.40,0.15,0.20,0.80,0.80,0.05,0.10,0.50,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,9,9,9,2,2,2,2,2,2,2,,0,environmental compliance mager,,,1,97,2,4,2,1,177,"4078.4267499,,,,"
1,1,1,3,1,1,1,1,4,2,1,1,1,1,1,1,5,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,4,1,2,1,1,2,2,1,1,1,2,2,2,1,2,,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,,,0.76,0.42,0.98,0.01,0.58,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,127,4,7,5,3,371,"358.26961617,,,,"
1,2,1,1,2,1,2,,,,1,1,1,1,2,1,2,3,1,3,4,2,2,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,3,3,1,1,1,,2,1,2,2,2,2,2,1,2,2,2,2,,,,1,2,2,2,2,1,1,1,2,2,2,2,2,2,,,,2,2,,,,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,,,1,,1,,2,,,,2,,,,2,,,,2,9,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,,,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,,2,2,1,1,2,2,,1,2,2,2,2,1,2,,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,5,1,4,,5,1,1,1,4,4,4,5,1,2,1,1,1,1,1,1,1,,,,,,,,,,1,0.30,0.25,0.01,0.75,0.01,0.01,0.00,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,155,5,10,1,4,508,"683.92288087,,,,"
1,1,1,,,1,1,3,1,2,1,,1,1,1,1,4,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,3,1,3,4,2,1,2,1,1,1,2,2,1,1,,,1,3,4,2,1,2,,1,2,1,1,2,,,,,,1,3,4,1,,1,3,4,1,1,1,1,1,,1,,,,,,,,,1,3,1,1,3,2,1,,,,,1,3,4,1,1,3,4,1,1,1,2,1,1,1,,1,1,,,2,9,2,9,2,9,2,9,3,1,3,1,2,2,1,1,2,,,,,,,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,,,,4,,2,1,1,2,2,3,1,2,2,2,2,1,,,2,,2,1,1,2,2,1,1,1,1,1,,2,,,2,2,2,1,2,1,1,1,2,1,1,2,1,,,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,8,,,,,,,,,2,1,1,1,,1,1,1,1,1,1,,,,,1,1,1,,1,1,,,1,1,1,,1,,1,1,1,1,,,2,9,9,9,,,1,2,1,1,,,0,,,,1,156,2,4,1,5,173,"373.00647768,,,,"
1,,2,1,2,1,1,1,4,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,,,,5,5,5,5,5,5,5,,,,,,,,5,,,5,,,,5,,,,5,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,,,,,,,,,,,,,3,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,4,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,8,0.25,0.25,0.15,,0.00,0.00,0.00,0.03,5,5,5,5,5,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,2,2,5,5,5,5,5,5,5,,0,,,,1,169,3,5,1,2,226,"754.94671871,,,,"
6,2,1,3,2,1,,,,,2,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,,,,5,5,5,5,5,5,5,,,,,,,,5,,,5,,,,5,,,,5,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,,,,,,,,,,,,,,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,4,2,3,1,1,3,2,2,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,7,0.60,0.00,0.50,0.90,0.50,0.00,0.00,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,172,4,8,2,1,401,"648.4046773,,,,"
7,2,3,,2,2,2,,,,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,,,,5,5,5,5,5,5,5,,,,,,,,5,,,5,,,,5,,,,5,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,,,,,,,,,,,,,3,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,8,0.10,0.20,0.90,0.98,0.00,0.10,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Office Mager,,,2,192,1,1,3,1,17,"1043.0288737,,,,"
1,3,2,3,2,1,2,,,,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,,,,5,5,5,5,5,5,5,,,,,,,,5,,,5,,,,5,,,,5,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,4,4,5,5,5,,,,5,5,,4,1,2,,1,,1,2,2,2,,,,,,,,,,4,,,,,,,,0.43,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,2,9,9,9,5,5,5,5,5,5,5,,0,,,,1,196,4,8,5,1,425,"339.31184135,,,,"
7,3,2,1,2,1,1,3,4,2,1,1,1,1,1,1,2,1,2,4,2,1,1,1,1,1,2,1,2,2,,2,,,,,,,,,,,,3,,1,3,1,1,2,1,1,1,1,2,1,2,1,2,2,1,3,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,2,,,,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,,1,1,2,,,1,1,1,1,1,2,1,3,1,3,4,2,2,,,,1,1,2,1,1,1,1,1,,1,1,1,1,2,9,2,9,2,9,3,2,3,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,4,1,1,1,1,2,2,2,1,2,2,1,2,2,2,,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,4,2,2,3,4,2,2,3,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,0.25,0.20,0.85,0.60,0.40,0.15,0.00,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Employee Health,PTO,,2,217,1,2,7,7,0,"47.793940929,,,,"
1,6,2,1,2,1,2,,,,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,,,,5,5,5,5,5,5,5,,,,,,,,5,,,5,,,,5,,,,5,,,,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,,,,,,,,,,,,,3,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,3,1,,,,,,,,,,,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,10,0.09,0.00,0.75,0.80,0.00,0.09,0.00,0.00,5,5,5,5,5,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,1,1,2,9,9,9,5,5,5,5,5,5,5,,0,,,,1,296,1,2,4,1,81,"1434.8174039,,,,"
